"Sr.
No.",Commodities,"KMS
2021-22","KMS
2022-23","KMS
2023-24","KMS
2024-25","KMS
2025-26"
,KHARIF CROPS,,,,,
1,Paddy (Common),1940,2040,2183,2300,2369
,Paddy (Grade ‘A’),1960,2060,2203,2320,2389
2,Jowar (Hybrid),2738,2970,3180,3371,3699
,Jowar (Maldandi),2758,2990,3225,3421,3749
3,Bajra,2250,2350,2500,2625,2775
4,Ragi,3377,3578,3846,4290,4886
5,Maize,1870,1962,2090,2225,2400
6,Arhar,6300,6600,7000,7550,8000
7,Moong,7275,7755,8558,8682,8768
8,Urad,6300,6600,6950,7400,7800
9,"Cotton
(Medium Staple )",5726,6080,6620,7121,7710
,"Cotton
(Long Staple )",6025,6380,7020,7521,8110
10,Groundnut,5550,5850,6377,6783,7263
11,Sunflower Seed,6015,6400,6760,7280,7721
12,Soyabean Yellow,3950,4300,4600,4892,5328
13,Sesamum,7307,7830,8635,9267,9846
14,Nigerseed,6930,7287,7734,8717,9537
,RABI CROPS,"RMS
2021-22","RMS
2022-23","RMS
2023-24","RMS
2024-25","RMS
2025-26"
15,Wheat,1975,2015,2125,2275,2425
16,Barley,1600,1635,1735,1850,1980
17,Gram,5100,5230,5335,5440,5650
18,Masur,5100,5500,6000,6425,6700
19,Rapeseed & mustard,4650,5050,5450,5650,5950
20,Safflower,5327,5441,5650,5800,5940
,COMMERCIAL CROPS,,,,,
,,2021-22,2022-23,2023-24,2024-25,2025-26
21,Jute,4500,4750,5050,5335,5650
,,2021,2022,2023,2024,2025
22,Copra (milling),10335,10590,10860,11160,11582
,Copra (ball),10600,11000,11750,12000,12100
